1.250167369842529297e+01,3.707222223281860352e+00,1.129016780853271484e+01,1.148838996887207031e+01,3.112044525146484375e+01
4.258011341094970703e+00,9.494812011718750000e+00,5.554216861724853516e+00,5.617592811584472656e+00,1.551579236984252930e+00
1.664453506469726562e+01,8.541180610656738281e+00,1.020559215545654297e+01,1.027672958374023438e+01,5.385496616363525391e+00
1.023292064666748047e+01,8.158218383789062500e+00,1.324735546112060547e+01,6.360786914825439453e+00,7.122360706329345703e+00
1.598130106925964355e+00,3.063781261444091797e+00,3.038148164749145508e+00,7.242428660392761230e-01,1.766455531120300293e+00
1.765634536743164062e+01,8.443170547485351562e+00,3.960025072097778320e+00,9.288058280944824219e+00,4.424972534179687500e+00
5.831139087677001953e+00,1.521563529968261719e+01,1.519681549072265625e+01,5.410881996154785156e+00,6.249936103820800781e+00
1.484006500244140625e+01,1.263699531555175781e+01,1.158479976654052734e+01,1.149999427795410156e+01,7.886577129364013672e+00
8.423122406005859375e+00,9.525311470031738281e+00,9.743020057678222656e+00,2.194939804077148438e+01,1.311116313934326172e+01
1.196862983703613281e+01,7.503096103668212891e+00,6.003840923309326172e+00,2.970104217529296875e+00,5.039298534393310547e+00
3.309787988662719727e+00,8.696977615356445312e+00,4.195717334747314453e+00,1.157729983329772949e+00,3.687616586685180664e-01
1.315106153488159180e+00,2.265212297439575195e+00,8.357723951339721680e-01,5.893161773681640625e+00,3.717518329620361328e+00
1.640844583511352539e+00,3.587748765945434570e+00,9.418642997741699219e+00,1.064825439453125000e+01,5.995843887329101562e+00
1.247472763061523438e+01,5.861613273620605469e+00,5.167178630828857422e+00,2.678459644317626953e+00,2.518607854843139648e+00
5.566130876541137695e-01,3.932741880416870117e-01,3.536944687366485596e-01,2.892258763313293457e-01,3.687744736671447754e-01
1.096972823143005371e+00,1.247067689895629883e+00,1.322534680366516113e-01,9.495546817779541016e-01,5.864664912223815918e-01
1.385963726043701172e+01,4.085823535919189453e+00,6.111556053161621094e+00,4.734333992004394531e+00,8.342946052551269531e+00
2.393454611301422119e-01,2.066711664199829102e+00,1.647746920585632324e+00,2.540193796157836914e+00,1.058507442474365234e+00
